year,transect,sta_id,haul_id,month_local,day_local,yrday_local,lat,lon,depth_w,species_common_name,length_froz,length_wet,weight_froz,weight_wet,sex,maturity,stomwt_full,stomwt_empty,sealice,comments
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chinook,nd,120,nd,127,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,nd,698,nd,4108,M,A,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,111,nd,1,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,102,nd,10,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,100,nd,9,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,114,nd,12,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,111,nd,9,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,111,112,13,14,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,126,nd,19,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,140,142,27,30,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,112,nd,14,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,105,105,10,11,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,117,nd,15,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,109,nd,14,nd,nd,J,0,0,0,nd
2001,Icy_Point,IP2,2001001,07,17,198,58.20,-137.20,64,Chum,130,nd,18,nd,nd,J,0,0,0,nd
